$ bash /home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_postsim_suite.sh innovus

[dip-flow][INFO] Running gate postsim suite stage=innovus
[dip-flow][INFO]   flavor=plain
[dip-flow][INFO]   netlist=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.v
[dip-flow][INFO]   sdf=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.sdf
[dip-flow][INFO]   vector_dir=/home/host_1/systolic_array_edge/test_vectors/thesis/sparse_90
[dip-flow][INFO]   force_clock_gates_open=0
GATE_TXT_CASE stage=innovus case=sp90_049 status=PASS
GATE_CASE stage=innovus case=sp90_050 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_050 status=PASS
GATE_CASE stage=innovus case=sp90_051 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_051 status=PASS
GATE_CASE stage=innovus case=sp90_052 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_052 status=PASS
GATE_CASE stage=innovus case=sp90_053 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_053 status=PASS
GATE_CASE stage=innovus case=sp90_054 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_054 status=PASS
GATE_CASE stage=innovus case=sp90_055 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_055 status=PASS
GATE_CASE stage=innovus case=sp90_056 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_056 status=PASS
GATE_CASE stage=innovus case=sp90_057 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_057 status=PASS
GATE_CASE stage=innovus case=sp90_058 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_058 status=PASS
GATE_CASE stage=innovus case=sp90_059 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_059 status=PASS
GATE_CASE stage=innovus case=sp90_060 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_060 status=PASS
GATE_CASE stage=innovus case=sp90_061 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_061 status=PASS
GATE_CASE stage=innovus case=sp90_062 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_062 status=PASS
GATE_CASE stage=innovus case=sp90_063 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_063 status=PASS
GATE_DEBUG_SNAPSHOT path=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/sparse_90/innovus/debug_snapshot.txt

GATE_SUITE stage=innovus status=PASS total=64 pass=64 fail=0
GATE_SUMMARY summary=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/sparse_90/innovus/summary.md
[dip-flow][PASS] gate postsim stage=innovus status=pass summary=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/sparse_90/innovus/summary.md
[dip-flow][PASS] gate postsim stage=innovus debug_snapshot=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/sparse_90/innovus/debug_snapshot.txt
