$ bash /home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_postsim_suite.sh innovus
GATE_TXT_CASE stage=innovus case=rand_051 status=PASS
GATE_CASE stage=innovus case=rand_052 status=PASS
GATE_TXT_CASE stage=innovus case=rand_052 status=PASS
GATE_CASE stage=innovus case=rand_053 status=PASS
GATE_TXT_CASE stage=innovus case=rand_053 status=PASS
GATE_CASE stage=innovus case=rand_054 status=PASS
GATE_TXT_CASE stage=innovus case=rand_054 status=PASS
GATE_CASE stage=innovus case=rand_055 status=PASS
GATE_TXT_CASE stage=innovus case=rand_055 status=PASS
GATE_CASE stage=innovus case=rand_056 status=PASS
GATE_TXT_CASE stage=innovus case=rand_056 status=PASS
GATE_CASE stage=innovus case=rand_057 status=PASS
GATE_TXT_CASE stage=innovus case=rand_057 status=PASS
GATE_CASE stage=innovus case=rand_058 status=PASS
GATE_TXT_CASE stage=innovus case=rand_058 status=PASS
GATE_CASE stage=innovus case=rand_059 status=PASS
GATE_TXT_CASE stage=innovus case=rand_059 status=PASS
GATE_CASE stage=innovus case=rand_060 status=PASS
GATE_TXT_CASE stage=innovus case=rand_060 status=PASS
GATE_CASE stage=innovus case=rand_061 status=PASS
GATE_TXT_CASE stage=innovus case=rand_061 status=PASS
GATE_CASE stage=innovus case=rand_062 status=PASS
GATE_TXT_CASE stage=innovus case=rand_062 status=PASS
GATE_CASE stage=innovus case=rand_063 status=PASS
GATE_TXT_CASE stage=innovus case=rand_063 status=PASS
GATE_CASE stage=innovus case=rand_064 status=PASS
GATE_TXT_CASE stage=innovus case=rand_064 status=PASS
GATE_CASE stage=innovus case=rand_065 status=PASS
GATE_TXT_CASE stage=innovus case=rand_065 status=PASS
GATE_CASE stage=innovus case=rand_066 status=PASS
GATE_TXT_CASE stage=innovus case=rand_066 status=PASS
GATE_CASE stage=innovus case=rand_067 status=PASS
GATE_TXT_CASE stage=innovus case=rand_067 status=PASS
GATE_CASE stage=innovus case=rand_068 status=PASS
GATE_TXT_CASE stage=innovus case=rand_068 status=PASS
GATE_CASE stage=innovus case=rand_069 status=PASS
GATE_TXT_CASE stage=innovus case=rand_069 status=PASS
GATE_CASE stage=innovus case=rand_070 status=PASS
GATE_TXT_CASE stage=innovus case=rand_070 status=PASS
GATE_CASE stage=innovus case=rand_071 status=PASS
GATE_TXT_CASE stage=innovus case=rand_071 status=PASS
GATE_CASE stage=innovus case=rand_072 status=PASS
GATE_TXT_CASE stage=innovus case=rand_072 status=PASS
GATE_CASE stage=innovus case=rand_073 status=PASS
GATE_TXT_CASE stage=innovus case=rand_073 status=PASS
GATE_CASE stage=innovus case=rand_074 status=PASS
GATE_TXT_CASE stage=innovus case=rand_074 status=PASS
GATE_CASE stage=innovus case=rand_075 status=PASS
GATE_TXT_CASE stage=innovus case=rand_075 status=PASS
GATE_CASE stage=innovus case=rand_076 status=PASS
GATE_TXT_CASE stage=innovus case=rand_076 status=PASS
GATE_CASE stage=innovus case=rand_077 status=PASS
GATE_TXT_CASE stage=innovus case=rand_077 status=PASS
GATE_CASE stage=innovus case=rand_078 status=PASS
GATE_TXT_CASE stage=innovus case=rand_078 status=PASS
GATE_CASE stage=innovus case=rand_079 status=PASS
GATE_TXT_CASE stage=innovus case=rand_079 status=PASS
GATE_CASE stage=innovus case=rand_080 status=PASS
GATE_TXT_CASE stage=innovus case=rand_080 status=PASS
GATE_CASE stage=innovus case=rand_081 status=PASS
GATE_TXT_CASE stage=innovus case=rand_081 status=PASS
GATE_CASE stage=innovus case=rand_082 status=PASS
GATE_TXT_CASE stage=innovus case=rand_082 status=PASS
GATE_CASE stage=innovus case=rand_083 status=PASS
GATE_TXT_CASE stage=innovus case=rand_083 status=PASS
GATE_CASE stage=innovus case=rand_084 status=PASS
GATE_TXT_CASE stage=innovus case=rand_084 status=PASS
GATE_CASE stage=innovus case=rand_085 status=PASS
GATE_TXT_CASE stage=innovus case=rand_085 status=PASS
GATE_CASE stage=innovus case=rand_086 status=PASS
GATE_TXT_CASE stage=innovus case=rand_086 status=PASS
GATE_CASE stage=innovus case=rand_087 status=PASS
GATE_TXT_CASE stage=innovus case=rand_087 status=PASS
GATE_CASE stage=innovus case=rand_088 status=PASS
GATE_TXT_CASE stage=innovus case=rand_088 status=PASS
GATE_CASE stage=innovus case=rand_089 status=PASS
GATE_TXT_CASE stage=innovus case=rand_089 status=PASS
GATE_CASE stage=innovus case=rand_090 status=PASS
GATE_TXT_CASE stage=innovus case=rand_090 status=PASS
GATE_CASE stage=innovus case=rand_091 status=PASS
GATE_TXT_CASE stage=innovus case=rand_091 status=PASS
GATE_CASE stage=innovus case=rand_092 status=PASS
GATE_TXT_CASE stage=innovus case=rand_092 status=PASS
GATE_CASE stage=innovus case=rand_093 status=PASS
GATE_TXT_CASE stage=innovus case=rand_093 status=PASS
GATE_CASE stage=innovus case=rand_094 status=PASS
GATE_TXT_CASE stage=innovus case=rand_094 status=PASS
GATE_CASE stage=innovus case=rand_095 status=PASS
GATE_TXT_CASE stage=innovus case=rand_095 status=PASS
GATE_CASE stage=innovus case=rand_096 status=PASS
GATE_TXT_CASE stage=innovus case=rand_096 status=PASS
GATE_CASE stage=innovus case=rand_097 status=PASS
GATE_TXT_CASE stage=innovus case=rand_097 status=PASS
GATE_CASE stage=innovus case=rand_098 status=PASS
GATE_TXT_CASE stage=innovus case=rand_098 status=PASS
GATE_CASE stage=innovus case=rand_099 status=PASS
GATE_TXT_CASE stage=innovus case=rand_099 status=PASS
GATE_CASE stage=innovus case=rand_100 status=PASS
GATE_TXT_CASE stage=innovus case=rand_100 status=PASS
GATE_CASE stage=innovus case=rand_101 status=PASS
GATE_TXT_CASE stage=innovus case=rand_101 status=PASS
GATE_CASE stage=innovus case=rand_102 status=PASS
GATE_TXT_CASE stage=innovus case=rand_102 status=PASS
GATE_CASE stage=innovus case=rand_103 status=PASS
GATE_TXT_CASE stage=innovus case=rand_103 status=PASS
GATE_CASE stage=innovus case=rand_104 status=PASS
GATE_TXT_CASE stage=innovus case=rand_104 status=PASS
GATE_CASE stage=innovus case=rand_105 status=PASS
GATE_TXT_CASE stage=innovus case=rand_105 status=PASS
GATE_CASE stage=innovus case=rand_106 status=PASS
GATE_TXT_CASE stage=innovus case=rand_106 status=PASS
GATE_CASE stage=innovus case=rand_107 status=PASS
GATE_TXT_CASE stage=innovus case=rand_107 status=PASS
GATE_CASE stage=innovus case=rand_108 status=PASS
GATE_TXT_CASE stage=innovus case=rand_108 status=PASS
GATE_CASE stage=innovus case=rand_109 status=PASS
GATE_TXT_CASE stage=innovus case=rand_109 status=PASS
GATE_CASE stage=innovus case=rand_110 status=PASS
GATE_TXT_CASE stage=innovus case=rand_110 status=PASS
GATE_CASE stage=innovus case=rand_111 status=PASS
GATE_TXT_CASE stage=innovus case=rand_111 status=PASS
GATE_CASE stage=innovus case=rand_112 status=PASS
GATE_TXT_CASE stage=innovus case=rand_112 status=PASS
GATE_CASE stage=innovus case=rand_113 status=PASS
GATE_TXT_CASE stage=innovus case=rand_113 status=PASS
GATE_CASE stage=innovus case=rand_114 status=PASS
GATE_TXT_CASE stage=innovus case=rand_114 status=PASS
GATE_CASE stage=innovus case=rand_115 status=PASS
GATE_TXT_CASE stage=innovus case=rand_115 status=PASS
GATE_CASE stage=innovus case=rand_116 status=PASS
GATE_TXT_CASE stage=innovus case=rand_116 status=PASS
GATE_CASE stage=innovus case=rand_117 status=PASS
GATE_TXT_CASE stage=innovus case=rand_117 status=PASS
GATE_CASE stage=innovus case=rand_118 status=PASS
GATE_TXT_CASE stage=innovus case=rand_118 status=PASS
GATE_CASE stage=innovus case=rand_119 status=PASS
GATE_TXT_CASE stage=innovus case=rand_119 status=PASS
GATE_CASE stage=innovus case=rand_120 status=PASS
GATE_TXT_CASE stage=innovus case=rand_120 status=PASS
GATE_CASE stage=innovus case=rand_121 status=PASS
GATE_TXT_CASE stage=innovus case=rand_121 status=PASS
GATE_CASE stage=innovus case=rand_122 status=PASS
GATE_TXT_CASE stage=innovus case=rand_122 status=PASS
GATE_CASE stage=innovus case=rand_123 status=PASS
GATE_TXT_CASE stage=innovus case=rand_123 status=PASS
GATE_CASE stage=innovus case=rand_124 status=PASS
GATE_TXT_CASE stage=innovus case=rand_124 status=PASS
GATE_CASE stage=innovus case=rand_125 status=PASS
GATE_TXT_CASE stage=innovus case=rand_125 status=PASS
GATE_CASE stage=innovus case=rand_126 status=PASS
GATE_TXT_CASE stage=innovus case=rand_126 status=PASS
GATE_CASE stage=innovus case=rand_127 status=PASS
GATE_TXT_CASE stage=innovus case=rand_127 status=PASS
GATE_DEBUG_SNAPSHOT path=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/random_seed_2026042601/innovus/debug_snapshot.txt

GATE_SUITE stage=innovus status=PASS total=128 pass=128 fail=0
GATE_SUMMARY summary=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/random_seed_2026042601/innovus/summary.md
[dip-flow][PASS] gate postsim stage=innovus status=pass summary=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/random_seed_2026042601/innovus/summary.md
[dip-flow][PASS] gate postsim stage=innovus debug_snapshot=/home/host_1/systolic_array_edge/reports/thesis/runs/os/gate/random_seed_2026042601/innovus/debug_snapshot.txt
