arch,status,result,top_result,incorrect_cells,incorrect_nets,incorrect_instances,incorrect_ports,errors,warnings,path
WS,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs.rep
OS,CHECK_REQUIRED,INCORRECT,INCORRECT,1,324,0,0,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,/home/host_1/systolic_array_edge/asic_commercial/os/reports/calibre/os_core_std_top_4x4_lvs.rep
IS,CHECK_REQUIRED,INCORRECT,INCORRECT,1,503,0,0,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_lvs.rep
DIP,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1003,0,0,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_lvs.rep
